item_id,output,user_id
0,3,1
0,3,2
1,3,1
1,3,2
2,3,1
2,3,2
3,2,1
3,3,2
4,3,1
4,3,2
5,3,1
5,3,2
6,3,1
6,2,2
7,3,1
7,3,2
8,3,1
8,3,2
9,3,1
9,3,2
10,3,1
10,3,2
11,2,1
11,3,2
12,3,1
12,3,2
13,3,1
13,3,2
14,3,1
14,3,2
15,3,1
15,3,2
16,3,1
16,3,2
17,3,1
17,3,2
18,2,1
18,3,2
19,2,1
19,3,2
20,3,1
20,3,2
21,3,1
21,3,2
22,3,1
22,3,2
23,2,1
23,3,2
24,3,1
24,3,2
25,3,1
25,3,2
26,3,1
26,3,2
27,2,1
27,3,2
28,3,1
28,3,2
29,3,1
29,3,2
30,3,1
30,3,2
31,3,1
31,3,2
32,3,1
32,3,2
33,3,1
33,3,2
34,3,1
34,3,2
35,3,1
35,3,2
36,3,1
36,3,2
37,3,1
37,3,2
38,3,1
38,3,2
39,2,1
39,3,2
40,3,1
40,3,2
41,2,1
41,3,2
42,3,1
42,3,2
43,2,1
43,3,2
44,3,1
44,3,2
45,2,1
45,3,2
46,3,1
46,3,2
47,2,1
47,3,2
